Entity,Match,Matched Entity,Score
a net fluid balance,False,Body fluid retention,0.77418923
central access,False,Common atrium,0.8255651
The sepsis protocol,False,Pregnancy termination W sepsis,0.7289039
her liver function tests,False,Abnl kidney function study,0.7999059
Random cortisol,False,Food protein induced allergic proctocolitis,0.75101835
her DFA,False,Declines lab draws,0.7866129
influenzae A,False,Vaccine allergy,0.80894315
a viral culture,False,Positive culture finding,0.79173
Blood and urine cultures,False,Blood and blood forming organ disease,0.7848096
a right lower extremity noninvasive ultrasound,False,Anterior right shoulder subluxation,0.84587586
deep venous thrombosis,True,Venous thrombosis,0.98007345
Breast cancer,True,Prostate cancer,0.9362241
status post left lumpectomy,True,Hx of partial gastrectomy,0.85850644
repeat surgery,False,HX of back surgery,0.8024294
sentinel node dissection,False,Artery dissection,0.84925294
Invasive mucinous carcinoma,True,Sebaceous carcinoma,0.8890788
estrogen receptor positivity,True,Selective estrogen receptor modulator therapy,0.91106296
Left chest radiation,True,Left shoulder Fx,0.90331995
Tamoxifen therapy,True,Long term tamoxifen therapy,0.94370353
vertebral basilar cerebrovascular accident,True,Lumbar vertebral dislocation,0.8584995
limb ataxia,True,Cerebral ataxia,0.93769705
Magnetic resonance imaging,False,Neuropathy,0.69433457
some microvascular cerebral white matter changes,False,Multifocal motor neuropathy,0.8371805
peripheral vertigo,True,Peripheral vertigo,0.99999964
Left hip arthritis,True,Right ankle Fx,0.8830504
urinary tract infections,True,Urinary tract obstruction,0.94505954
a baseline hematocrit,False,Precipitous hematocrit drop,0.8366866
a TIBC,False,Abnl CBC,0.7948811
a high ferritin,True,Elevated ferritin,0.878425
ejection fraction,False,Hx of decompressive lumbar laminectomy,0.7236445
trivial mitral regurgitation,False,Mitral valve regurgitation,0.76339424
mild left atrial enlargement,True,Left atrial enlargement,0.9616718
Cardiac stress test,False,Cardiac injury,0.81665874
inducible ischemia,True,Ischemic steal syndrome,0.85541815
known drug allergies,False,Drug allergy,0.8102554
Enteric Coated Aspirin,False,Hx of aspirin sensitive asthma w nasal polyp,0.81548035
heart rate,False,Blood pressure elevation,0.8277302
respiratory rate,True,Blood pressure elevation,0.85584235
oxygen saturation,False,Pulmonary sequestration,0.7407312
Physical examination,False,Genetic counseling,0.7694255
the examination,False,Declines procedure,0.81093866
Sclera anicteric,False,Asteatosis cutis,0.8238275
conjunctiva injected,False,Hx of conjunctiva fornix reconstruction,0.82921296
jugular venous distention,True,Total anomalous pulmonary venous connection,0.8644841
I/VI holosystolic murmur at the apex,False,Alternating exotropia w v pattern,0.69605136
calf tenderness,True,Abdominal tenderness,0.8720312
mental status examination,False,"Altered mental status, unspecified",0.79933375
Cranial nerves II through XII,False,DM 1 w cranial nerve palsy,0.79850173
chest x-ray,False,Abnl chest CT scan,0.76170325
acute cardiopulmonary process,True,Extrapulmonary TB,0.88504
sinus tachycardia,True,Sinus tachycardia,1.0
a rate,False,Canities,0.7868459
new T wave inversion in III,True,T wave inversion in ekg,0.8511835
old T wave inversions in aVL and V1,True,T wave inversion in ekg,0.88525283
white blood cell count,True,White blood cell disorder,0.86741054
platelet count,False,Head mass,0.7566656
blood urea nitrogen,False,Elevated urine uric acid,0.80265045
Stage I breast cancer,True,Hx of breast cancer,0.862128
a leukocytosis/bandemia,False,Leukocytosis,0.84351265
volume depletion,False,Heat exhaustion due to salt depletion,0.78775465
a diarrheal and viral respiratory syndrome,True,Infectious diarrhea,0.8517866
Her blood pressure,False,Blood pressure elevation,0.7560341
three liters of normal saline,False,General anesthetic overdose,0.70296127
gastrointestinal bleed,True,Gastrointestinal tract cancer,0.9222096
adrenal insufficiency,True,"Severe adrenal insufficiency, unspecified",0.977036
her evaluation,False,Institutional upbringing,0.8246074
Her antihypertensives,False,Poisoning by antihypertensive drug,0.8202958
Influenza A,True,Influenza pneumonia,0.91508365
the viral cultures,False,Epidemic vertigo,0.83155
The initial bandemia,False,Declines lab draws,0.8307714
a typical influenza presentation,False,Influenza like illness,0.76295006
a bacterial superinfection,False,Megacolon due to Chagas disease,0.75563705
Loose bowel movements,True,Absent bowel sounds,0.92360735
a viral syndrome,True,Viral syndrome,0.92127836
a chronic problem,False,Financial problem,0.8151572
known iron deficiency,True,Magnesium deficiency,0.875934
the Hemophilus panel,True,Hemophilia A,0.8532376
her Synthroid,False,Declines lab draws,0.8076451
amio loading,False,Lentigo,0.7970815
SERIOUS INTERACTION,False,Intentional tremor,0.83589005
AMIODARONE HCL,False,Amiodarone overdose,0.8461504
ENTERIC COATED ASA ( ASPIRIN ENTERIC COATED ),False,Hx of aspirin sensitive asthma w nasal polyp,0.77747726
AMIODARONE PO,False,Lentigo,0.7156275
AMIODARONE IV,False,Sparganosis,0.6733592
MVI THERAPEUTIC W / MINERALS ( THERAP VITS / MINERALS ),False,Abnl anal Pap AGC (atypical glandular cells),0.7711269
ZOCOR PO,False,Eschar,0.76279736
ZOCOR ( SIMVASTATIN ),False,Enoxaparin overdose,0.7986172
TOPROL XL ( METOPROLOL ( SUST. REL. ) ),False,Abnl anal Pap AGC (atypical glandular cells),0.75665396
1900-01-05 PLAVIX ( CLOPIDOGREL ),False,"Preeclampsia w preexisting HTN, unspecified",0.61381257
KEFLEX ( CEPHALEXIN ),False,Bilat blepharospasm,0.7923862
MI,True,Arthritis,0.89479566
ischemic cardiomyopathy,True,Ischemic cardiomyopathy,0.99999994
bilateral knee replacement,True,Chronic pain due to right total knee arthroplasty,0.85055757
Cardiac Cath,False,Left talipes,0.79329854
longstanding CAD,False,Elder neglect,0.7766895
inducible VT,False,Bilat recurrent irreducible inguinal hernia,0.7710726
ICD discharge,False,Penile discharge,0.7527969
1900-01-04 ICD discharges,False,DM 1 w cataract,0.6460687
change in ET,False,Skew deviation,0.73155695
further ICD shocks,False,Transient heat fatigue,0.7829486
amio bolu,False,Bilat corneal dellen,0.75750095
further evaluation,False,Institutional upbringing,0.7853627
b / l carotid bruits,True,Carotid bruit,0.8797101
soft murmur at L sternal border,False,Hx of deep anterior lamellar keratectomy,0.8030054
1+ b / l edema,False,DM 1 w bilat severe nonproliferative retinopathy,0.78514546
shower R on T VPB,False,DM 2 w bilat proliferative retinopathy,0.7722012
monomorphic VT,False,Canities,0.77058697
amio IV load,False,Miliary TB,0.73273695
agressive lytes,False,Central giant cell reparative granuloma of jaw,0.8072234
med therapy,False,Wound drainage,0.7859616
enzymes,True,Rash,0.9161047
actively ischemic,False,Chronic ischemic heart disease,0.8365145
Adenosine thal,False,Adenosine deaminase deficiency,0.80232334
1900-01-20 Lasix,False,CKD stage 2 (gfr 60-89),0.556736
dig level,False,AV block,0.7538835
elevated glu,False,Elevated serum cobalt,0.8278451
w / u,False,Q fever,0.62405646
baseline PFTs,False,Hx of negative pap performed within last 12 months,0.7780838
baseline LFTs,False,Hx of negative pap performed within last 12 months,0.7727089
cardiac / ADA diet,False,Abnl kidney function study,0.74764115
baseline CRI,False,FHX of stroke,0.7158226
amiodarone loading,True,Amiodarone overdose,0.8968846
Adenosine stress MIBI,False,Adenosine deaminase deficiency,0.8157581
a small reversible defect in the PDA territory,False,Centric occlusion maximum intercuspation discrepancy,0.7672106
coronary catheterisation,False,Hemodialysis catheter infection,0.8457333
a 1900-01-00 lesion in the SVG to PDA,False,Initial lesion of yaws,0.62477934
cypher stented,False,Vulvar burning,0.75930595
occasional ventricular extopyon,False,Left ventricular dilatation,0.82217866
further recurrence,False,Convergence excess,0.7302415
ventricular tachycardia,True,"Ventricular tachycardia, monomorphic",0.9567177
his am fasting glucose levels,False,Impaired fasting glucose,0.7161223
intermittently elevated,False,Seasonal asthma,0.72199786
his HbA1C,False,Fhx of BRCA1 gene mutation,0.81095934
some glucose intolerance,True,Milk intolerance,0.8640441
dietary control,False,Dietary calcium deficiency,0.8313056
his R antecubital venous access site,False,Left anterior sternoclavicular joint dislocation,0.8157623
his amiodarone,False,Left talipes,0.7969768
his device,False,Breakthrough bleeding,0.7750962
left lower extremity redness,True,Hx of lower extremity skin ulcer,0.86923873
inability to urinate,False,Abnormality of urination,0.8466288
Transesophageal Echocardiogram,True,Gastroesophageal reflux,0.8765721
gastric bypass,True,Gastric outlet obstruction,0.8958899
laprascopic cholecystectomy,True,Hx of cholecystectomy,0.86583525
left lower extemity redness,False,Left accommodative esotropia,0.7658603
lower extremity cellulitis,True,Right axillary cellulitis,0.876488
Sigmoidoscopy,False,Hx of colonoscopy,0.8420329
dm2,True,DM 2,0.9073787
cad,True,Arthritis,0.87823486
cabg,False,Ainhum,0.80538666
DVT/PE,False,Fhx of DM,0.75276613
brbpr,False,Complete SAB,0.7576128
hemoconcentrated,False,Epididymal mass,0.7712598
DM-2,True,DM 2,0.8586214
3v-CABG,False,HX of CABG,0.8119718
LBBB,False,Abnl head MRI,0.7144208
warfarin,False,Poisoning by warfarin,0.7104711
jvd,False,RSV pneumonia,0.76882213
m/r/g,False,DM 1 w autonomic neuropathy,0.6296793
nt,False,Mania,0.8496644
rebound/guarding,False,Acquired right hammer toe,0.6585809
APPEAR,True,Rash,0.90819013
PROTEIN,True,Pneumonia,0.88686395
GLUCOSE,True,Pneumonia,0.91770566
KETONE,False,Ketonuria,0.82983637
UROBILNGN,False,Bilat conjunctivochalasis,0.74910164
PH,True,Arthritis,0.8541258
LEUK,False,Macule,0.8173015
BACTERIA,True,Pneumonia,0.90017843
LACTATE,False,Lipoid pneumonia,0.7781643
CREAT,False,Macule,0.7695434
POTASSIUM,True,Corn,0.89600253
CHLORIDE,True,Pneumonia,0.85329974
NEUTS,False,Loneliness,0.7442608
LYMPHS,False,Postmastectomy lymphedema syndrome,0.71987605
MONOS,False,Posthitis,0.8458815
EOS,False,Burn,0.8035921
BASOS,False,Macule,0.7979537
POIKILOCY,False,Onychauxis,0.8126192
MICROCYT,False,Microgenia,0.786865
uc,False,Loneliness,0.8169493
brpbr,False,RSV pneumonia,0.7567793
Biopsies,False,Blastomycosis,0.7167154
CAD/CHF,False,FHX of CAD,0.70853776
Spironolactone/hctz,False,Right hydroxychloroquine retinopathy,0.81282854
Furosemide,False,Arginosuccinate lyase deficiency,0.77285653
Flomax,False,Loiasis,0.8018221
Ritalin,False,Serum sickness,0.75125575
Ramipril,False,Chancroid,0.7824062
Carafate,False,Viremia,0.7059378
Actos,False,Encopresis,0.7372174
Folate,False,Rash,0.80983603
Tamsulosin,False,Bilat corneal dellen,0.77751625
Methylphenidate,True,Methylphenidate overdose,0.9306344
Spironolactone,False,Dihydropteridine reductase deficiency,0.8050777
Hydrochlorothiazide,True,Right hydroxychloroquine retinopathy,0.86160445
Pioglitazone,False,Lentigo,0.6721412
Mesalamine,False,Amiodarone overdose,0.7761885
faintness,True,Hoarseness,0.8882091
DDI,False,DM 2,0.8000926
antacids,False,Posthitis,0.7903804
sedated,False,Locked in syndrome,0.7149774
BACTRIM,False,Pellagra,0.826052
Prinovil,False,Group B strep UTI,0.7008669
Dapsone,False,Macule,0.78465104
afebrile,False,Febrile UTI,0.7235246
Lipase,False,Lipoid pneumonia,0.8323425
ESR,False,MRSA pneumonia,0.8193793
Urinalysis,False,Urethral discharge,0.80742043
Cough,True,Plague,0.87333655
rhinorrhea,True,Rhinorrhea,1.0
dehydration,True,Dehydration,1.0
coryza,False,Pellagra,0.80573857
HER2/NEU,False,Abnl cervical Pap HGSIL (high grade squamous intraepithelial lesion),0.7513937
Meclizine,False,Tetracyclic antidepressant overdose,0.8109143
Osteopenia,True,Osteopenia,1.0
Evista,False,Phoria,0.7238399
Lisinopril,False,Abnl anal Pap LGSIL (low grade squamous intraepithelial lesion),0.7220162
Triamterene/Hydrochlorothiazide,False,Bilat hydroxychloroquine retinopathy,0.84384584
Aggrenox,False,Hydrosalpinx,0.76941645
Electrocardiogram,False,Abnl echocardiogram,0.804116
Hypothyroid,True,Hypothyroidism,0.8813573
DIGOXIN,False,Digoxin overdose,0.8474175
NIACIN,False,Niacin deficiency,0.83950406
NKA,False,MRSA carrier,0.7930076
PPM,False,PPD positive,0.78121126
presyncope,False,Posthitis,0.7985824
Labs,True,Plague,0.8935322
gluc,False,Pyruvate metabolism and gluconeogenesis disorder,0.7361719
interrogation,True,Plague,0.92749524
BB,False,Mania,0.73772824
Amio,False,Amyelia,0.7927951
BMP,False,MRSA pneumonia,0.7583041
FSG,False,RSV pneumonia,0.71236026
pneumoboots,False,Oligomeganephronia,0.7948744
N/V,False,DM 2,0.7015091
Lymphedema,True,Lymphedema,1.0
Obese,False,Dwarfism,0.68843484
chords,True,Rash,0.92339736
BANDS,False,Drowning,0.786496
ATYPS,False,Posthitis,0.8231088
METAS,False,Canities,0.8255844
MYELOS,True,Posthitis,0.8506857
PHOSPHATE,True,Pneumonia,0.89438343
MAGNESIUM,False,Paralysis,0.8395519
cTropnT,False,IUD removal,0.7409168
ALBUMIN,False,Ainhum,0.8121213
ALT(SGPT),False,Hx of PICC line (removed),0.760584
AST(SGOT),False,Incomplete SAB W UTI,0.7141689
AMYLASE,False,Ketosis,0.818637
Cellulitis,True,Cellulitis,0.9999999
zosyn,False,Ketonuria,0.77545035
cardioversion,False,HX of cardioversion,0.83401763
ibutilide,False,Aluminosis,0.7713549
tonsillectomy,True,Hx of tonsillectomy,0.88985205
adenoidectomy,True,Hx of adenoidectomy,0.87474525
mastoidectomy,True,Post mastectomy pain,0.8820615
Vasotec,False,Vulvar burning,0.7941061
Mevacor,False,Lentigo,0.752722
Seldane,False,Nevus,0.75029004
Nondysmorphic,False,"Encephalocele, unspecified",0.7409214
intubated,False,Failed intubation,0.77360445
extubated,False,Contusion,0.7724513
intralipids,False,Bilat labyrinthine hydrops,0.77574456
ProMod,False,AV block,0.81573576
TCO2,False,BPAP dependence,0.74290013
gentamicin,True,Rifampicin antibiotic overdose,0.87717736
Immunizations,True,Infection following immunization,0.8749816
MCHE,False,Macule,0.7962556
Elavil,False,Vulvar burning,0.8051932
Neurontin,False,Lipoid pneumonia,0.7862702
Paraplegia,True,Paraplegia,1.0
Colistin,False,Lipoid pneumonia,0.8238339
Amitriptyline,False,Adverse effect of dipyridamole,0.77790993
PENICILLIN,True,Penicillin antibiotic overdose,0.8741305
dentures,False,Toothache,0.7719314
fluoroscope,False,Abnl electrooculogram,0.759369
hypopotassemia,True,Hypokalemia,0.90139925
hyperuricemia,True,Hyperuricemia,1.0000001
hypophosphatemia,True,Hypophosphatemia,1.0
anorexia,True,Atypical anorexia nervosa,0.86227024
Amioadrone,False,Posthitis,0.7641556
Ancef,False,IUD insertion,0.7284952
Amicar,False,Lentigo,0.8356661
sequestration,False,Pulmonary sequestration,0.78958416
6-Thioguanine,True,3-methylglutaconic aciduria,0.87556994
Allopurinol,False,Adverse effect of allopurinol,0.83908904
Steri-Strips,False,Hydroureter,0.71045303
Incisions,False,Skin graft displacement,0.8068881
Pathology,True,Schizophrenia,0.8525277
Uniphyl,False,Onychauxis,0.80164266
Estrase,False,MRSA pneumonia,0.798136
rubs,True,Arthritis,0.8989806
Electrolytes,True,Electrolyte imbalance,0.8557676
Chemotherapy,True,Pneumonia,0.92588264
Mesna,False,Rales,0.7098506
Xanax,False,GI anthrax,0.6813736
Premarin,False,Bursopathy,0.7703881
Beclovent,False,IUD malposition,0.76969
Trilisate,False,Bilat subjective pulsatile tinnitus,0.79793715
Robitussin,False,Besnier prurigo,0.75551367
hydramnios,False,Myelatelia,0.8155482
TEF,False,Macule,0.7821392
hypercholesterolemia,True,Hypercholesterolemia,1.0
Neupogen,False,Strep carrier,0.7373915
Penicillins,False,Penicillin allergy,0.78941405
Verapamil,False,Acalculia,0.6895511
OA,False,MRSA carrier,0.77662075
irreg-irreg,False,Hx of IUGR,0.6442353
M/R,False,Q fever,0.6137565
NT/ND/+BS,False,HX of Fontan procedure,0.69404835
T99.9,False,HTLV1 carrier,0.6668596
%HbA1c,False,Fhx of hematuria,0.7881137
INR(PT)-,False,Elevated CPK,0.64542156
Pntx,False,FHX of HTN,0.74931884
SVG-PDA,False,"CHF, stage D",0.65762293
HCTZ,False,Canities,0.7913426
Ultram,False,Macule,0.7656798
Prilosec,False,Group B strep UTI,0.6621736
Zocor,False,Eschar,0.7758833
Levitra,False,Anuria,0.78434294
Simvastatin,False,Enoxaparin overdose,0.75584865
Headache,True,Headache,1.0000001
OXYCODONE,False,Left hydroxychloroquine retinopathy,0.8328661
gallops,False,Mumps,0.73438525
organomegaly,False,Macroencephaly,0.7872451
clubbing,False,Nail biting,0.7943043
CPR,False,Blunt trauma,0.72090685
FNA,False,Arthritis,0.7353154
syncope,True,Syncope,0.9999998
SSS;,False,MSSA pneumonia,0.70621955
URI;,False,"Angina, unspecified",0.6927292
myalgias,True,Myalgia,0.90288126
levaquin,False,Macule,0.7579109
hemoptysis;,True,Hemoptysis,0.8947326
non-tender.,False,"Seizure, unspecified",0.7019138
m/g/r,False,DM 1 w autonomic neuropathy,0.602522
NT,False,Mania,0.8496644
ND,False,Rh negative,0.74240744
CN,True,Pneumonia,0.8827318
Immunostains,False,Nonautoimmune hemolytic anemia,0.80268896
CD-68,False,Fhx of fragile x,0.58428335
CD-79a,False,DM 1,0.64564407
CD-138,False,DM 1,0.6174597
S-100,False,PPD positive,0.65106815
EMA,True,MRSA carrier,0.8607821
CD34,False,Vertigo,0.709903
CD31,False,DM 1,0.71092784
TTF-1,False,"CHF, stage D",0.7391972
actin,False,Ketosis,0.7430154
desmin,False,Macule,0.8274319
MNF-116,False,Abnl anal Pap ASC-H (atypical squamous cells cannot exclude high grade),0.60384655
calcitonin,False,Bilat hydroxychloroquine retinopathy,0.78565794
melanoma,True,Hematoma,0.8592303
sarcoma,True,Semicoma,0.88311285
knife-like,False,Painful gait,0.6566235
light-headedness,False,Lightheadedness,0.8185313
non-distended,False,"Cause of injury, nonvenomous arthropod",0.6402331
Tender,True,Arthritis,0.8921257
cholestasis,True,Cholestasis,0.9999999
Sarcoidosis,True,Sarcoidosis,1.0000002
AMOXICILLIN,False,Poisoning by digoxin,0.8334521
Reglan,False,Paralysis,0.69430065
Remeron,False,Phoria,0.78048515
thymoglobulin,True,Macroglobulinemia,0.85027975
CellCept,False,Viral exanthem,0.74855256
ganciclovir,False,Group B strep UTI,0.7234348
cytomegalovirus,True,Left Cytomegalovirus retinitis,0.9107132
pamidronate,False,Posthitis,0.7801124
Zantac,False,Macule,0.78342676
Cardizem-CD,False,HX of LASIK,0.704667
nonradiating,False,Overactivity,0.77996993
sweating,True,Headache,0.9267696
Obesity,True,Severe obesity,0.89970237
dicloxacillin,False,3-methylglutaconic aciduria,0.8481709
Naproxen,False,Naproxen overdose,0.7809326
indented,False,Vaginal stricture,0.72326386
triglycerides,False,Endogenous hypertriglyceridemia,0.7609418
