Entity,Match,Matched Entity,Score
medial 1900-01-01 cm mass above her knee,True,Right TMJ disorder,0.8534646
edema,True,Edema,1.0000001
elevated,True,Canities,0.87313974
positive for protein,True,Positive MRSA culture,0.8890239
rib fracture,True,Rib injury,0.9550045
her pain,True,Pain crisis,0.93062955
some pain,True,Pain crisis,0.92529047
her left calf lesion,True,Left shoulder slap lesion,0.9494281
splenomegaly,True,Splenomegaly,0.99999976
hepatomegaly,True,Hepatomegaly,0.99999994
The 1900-01-01 cm cyst,False,Incomplete C5-C7 quadriplegia,0.8373041
a cyst in her kidney,True,Right breast cyst,0.9390875
a stone,True,Bladder calculus,0.8774687
the cyst,True,Liver cyst,0.94361037
Cough,True,Pneumonia,0.9596641
rhinorrhea,True,Rhinorrhea,0.99999976
dehydration,True,Dehydration,1.0000001
breast cancer,True,Breast disease,0.9563128
hypertension,True,Hypertensive heart disease,0.96006376
hyperlipidemia,True,Hyperlipidemia,1.0
multiple urinary tract infections,True,Urinary tract calculus,0.9588331
dry cough,True,Dry mouth,0.9581682
coryza,True,Ayerza syndrome,0.91463447
malaise,True,Malaise,1.0
chills,True,Chills,1.0
headache,True,Headache,0.99999994
decreased p.o. intake,True,Increased body weight,0.8795511
loose bowel movements,True,Absent bowel sounds,0.95020175
diarrhea,True,Diarrhea,1.0000001
blood,True,Bleeding,0.94530535
decreased urine output,True,Body fluid retention,0.88903856
labile blood pressure,True,Blood pressure elevation,0.929887
early sepsis,True,Septic shock,0.95660466
early pneumonia,True,Chronic pneumonia,0.9417481
evidence of bleeding,True,No evidence of disease,0.8957224
influenzae A,True,Haemophilus influenzae bronchopneumonia,0.8930564
deep venous thrombosis,True,Venous thrombosis,0.9870888
Breast cancer,True,Breast disease,0.9563128
Invasive mucinous carcinoma,True,"Mucinous adenocarcinoma, gastrointestinal tract",0.96682286
estrogen receptor positivity,True,Estrogen receptor positive status,0.9527476
HER2/NEU,False,"Alk-negative anaplastic large cell lymphoma, unspecified site",0.84874856
vertebral basilar cerebrovascular accident,True,Bilat vertebral artery occlusion,0.93350947
limb ataxia,True,Cerebral ataxia,0.9546857
some microvascular cerebral white matter changes,True,Cerebral degeneration in hypothyroidism,0.9198483
peripheral vertigo,True,Peripheral vertigo,1.0000002
Hypothyroidism,True,Hypothyroidism,1.0000001
Hypertension,True,Hypertensive heart disease,0.96006376
Hypercholesterolemia,True,Hypercholesterolemia,0.99999994
Glaucoma,True,Juvenile glaucoma,0.96871936
Cataract,True,Left cataract,0.953588
Osteopenia,True,Osteopenia,0.9999999
Left hip arthritis,True,Left hip joint pain,0.9494791
urinary tract infections,True,Urinary tract calculus,0.97549355
Anemia,True,Anemia,1.0000001
low,True,Angry,0.92899805
a high ferritin,True,Elevated ferritin,0.96995026
trivial mitral regurgitation,True,Mitral valve regurgitation,0.9767133
mild left atrial enlargement,True,Left atrial enlargement,0.9849912
inducible ischemia,True,Hypoxic ischemic encephalopathy due to birth trauma,0.9353677
known drug allergies,True,Drug allergy,0.9608735
Sclera anicteric,True,Scleredema buschkes,0.9382155
conjunctiva injected,True,Conjunctival disorder,0.9456042
dry,True,Corn,0.95729274
jugular venous distention,True,Right internal jugular vein injury,0.9171267
lymphadenopathy,True,Lymphadenopathy,1.0
I/VI holosystolic murmur at the apex,True,DM 2 w neurogenic erectile dysfunction,0.87594813
calf tenderness,True,Buttock pain,0.9103025
acute cardiopulmonary process,True,Primary extrapulmonary coccidioidomycosis,0.9341742
sinus tachycardia,True,Sinus tachycardia,0.9999999
new T wave inversion in III,True,T wave inversion in ekg,0.9389199
old T wave inversions in aVL and V1,True,Hx of torsades type ventricular tachycardia due to prolonged QT,0.8828188
Stage I breast cancer,True,"Invasive female breast cancer, unspecified site",0.8943692
a leukocytosis/bandemia,True,Leukocytosis,0.9433803
hypotension,True,Hypotension,1.0000002
influenza,True,Influenza,1.0000001
Hypotension,True,Hypotension,1.0000002
volume depletion,True,Body fluid retention,0.91056913
a diarrheal and viral respiratory syndrome,True,Travelers diarrhea,0.95153546
gastrointestinal bleed,True,Gastrointestinal tract cancer,0.9701126
adrenal insufficiency,True,"Adrenal insufficiency, unspecified",0.9887294
Influenza A,True,Influenza pneumonia,0.9758003
The initial bandemia,True,Bandemia,0.90013444
a typical influenza presentation,True,Influenza like illness,0.93931496
a bacterial superinfection,True,Hx of bacterial infection,0.91433513
Loose bowel movements,True,Absent bowel sounds,0.95020175
a viral syndrome,True,Viral syndrome,0.94274664
a chronic problem,True,Pain disorder w psychological factors,0.900262
known iron deficiency,True,Iron deficiency anemia,0.9326056
Hypothyroid,True,Hypothyroidism,0.97424024
VT,True,Tetany,0.9011259
SERIOUS INTERACTION,True,Acute MI,0.9080825
NKA,True,Croup,0.87282073
MI,True,Confusion,0.94724846
ischemic cardiomyopathy,True,Ischemic cardiomyopathy,1.0000002
longstanding CAD,True,Bilat pinna disorder,0.8750642
presyncope,True,Syncope and collapse,0.8913022
inducible VT,True,Fhx of HIV,0.9138785
LH,True,IUD surveillance,0.91763824
change in ET,True,Hx of Graves disease,0.8940276
b / l carotid bruits,True,Carotid bruit,0.94076264
soft murmur at L sternal border,True,Left scapulalgia,0.9044534
1+ b / l edema,True,DM 1 w small vessel disease,0.9081216
shower R on T VPB,True,Late effect of TB cns,0.9188889
monomorphic VT,True,AV junctional rhythm,0.864442
actively ischemic,True,Cerebral ischemia,0.9544605
ischemia,True,Demand ischemia,0.9680434
elevated glu,True,Elevated LDH,0.95075476
elevation,True,Confusion,0.9464567
a small reversible defect in the PDA territory,True,Functional disorder of GI tract,0.8992149
a 1900-01-00 lesion in the SVG to PDA,True,HX of parietal stroke,0.8600444
occasional ventricular extopyon,True,Ventricular bigeminy,0.9209334
further recurrence,True,Recurrent bacterial infection,0.89922416
ventricular tachycardia,True,"Ventricular tachycardia, monomorphic",0.99304277
intermittently elevated,True,Drug induced fever,0.8819517
some glucose intolerance,True,Impaired glucose tolerance,0.93145704
erythema,True,Erythema,1.0
fevers,True,Scarlet fever,0.92297935
fever,True,Fever,1.0000001
left lower extremity redness,True,Left lower leg joint pain,0.9433662
dysuria,True,Dysuria,1.0000002
inability to urinate,True,Straining on urination,0.92698336
left lower extemity redness,True,Left lower spastic entropion,0.9178054
lower extremity cellulitis,True,Left leg cellulitis,0.9467896
his symptoms,True,Abdominal swelling,0.8814032
previous episodes,True,Chronic cough,0.8985682
recent trauma to the area,True,Chemical burn of chest wall,0.90592635
painful urination,True,Straining on urination,0.9523758
a reduction in urine output,True,Drug induced urinary retention,0.90353984
palpitations,True,Palpitations,1.0000002
abdominal pain,True,Abdominal pain,0.9999999
N/V,False,Vomiting,0.8222972
penile discharge,True,Penile discharge,1.0000002
Morbid obesity,True,Severe obesity,0.92775625
Frequent cellulitis,True,Recurrent cellulitis,0.9657291
Lymphedema,True,Lymphedema,1.0
Osteoarthritis of the knees,True,Osteoarthritis of bilat acromioclavicular joints,0.9942047
Obstructive sleep apnea,True,Obstructive sleep apnea,1.0000001
CVA,True,Croup,0.94596124
left-sided weakness,True,Left arm pain,0.9236417
Obese,True,Severe obesity,0.93055785
MM dry,True,Secondary dm,0.8864859
JVD,True,HIV positive,0.90300417
Irregularly irregular rhytmm,True,Bilat phlyctenular keratoconjunctivitis,0.9132146
NT/ND,False,AV dissociation,0.7869357
3+ bilateral edema,True,"Edema, left eyelid",0.9208631
LLE edema,True,Reinke edema,0.9493772
chords,True,Transgender,0.9271922
warmth,True,Agitation,0.93781775
chronic venous changes,True,Venous stasis,0.9368093
cellulitis,True,Cellulitis,1.0000002
bacteremia,True,Bacteremia,1.0000004
hypotensive atrial fibrillation,True,Idiopathic hypotension,0.9206745
his hypotension,True,Hypotension,0.9547852
atrial fibrillation,True,Chronic atrial fibrillation,0.984798
Cellulitis,True,Cellulitis,1.0000002
Bacteremia,True,Bacteremia,1.0000004
Beta streptococcus Group B,True,Streptococcal pharyngitis,0.96168864
the same infection,True,Hx of bacterial infection,0.89408857
too large,True,Small kidney,0.88204247
the organism,True,Macrotia,0.90035284
the infection,True,Oral infection,0.914548
Atrial fibrillation,True,Chronic atrial fibrillation,0.984798
infection,True,Pneumonia,0.9560217
structural heart disease,True,Left heart failure,0.93094474
a mildly dilated and elongated left atrium,True,Bilat atrial enlargement,0.9073336
a markedly dilated right atrium,True,Right atrial enlargement,0.9141393
rapid atrial fibrillation,True,Ventricular fibrillation,0.9733451
thrombus,True,Cerebral artery thrombosis,0.91005546
mild QT prolongation,True,Hx of torsades type ventricular tachycardia due to prolonged QT,0.8773446
several asymptomatic electrolyte deficiecies,True,Asymptomatic neurosyphilis,0.92670125
inadequate absorption,True,Impaired swallowing,0.91485786
lightheadedness,True,Lightheadedness,1.0000001
LEFT CORONARY ARTERY STENOSIS,True,Occlusion of coronary artery stent,0.94172174
left coronary artery stenosis,True,Occlusion of coronary artery stent,0.94172174
diabetes mellitus,True,Neonatal diabetes mellitus,0.91294175
diabetic renopathy,True,Renal vascular disorder,0.92840683
renovascular occlusive disease,True,Renovascular insufficiency,0.9561096
thrombosis of the right renal artery,True,Thrombosis of right leg artery,0.97469544
hypertensive cardiac disease,True,Hypertensive heart disease,0.9877174
congestive heart failure,True,"Systolic heart failure, unspecified acuity",0.9489633
chronic renal insufficiency,True,Chronic renal insufficiency,0.99999976
coronary artery disease,True,Coronary arteritis,0.9524021
known carotid stenosis,True,Left carotid artery stenosis,0.96478546
1900-01-00 left sided stenosis,True,Left wo being seen,0.8648443
a stroke,True,Cerebral laceration,0.8859875
transient ischemic attack,True,Transient cerebral ischemia,0.95852506
urinary tract infection,True,Urinary tract calculus,0.97951484
gastrointestinal distress,True,Gastrointestinal tract cancer,0.970432
bruits bilaterally,True,Bilat upper arm pain,0.9209763
her chronic renal insufficiency,True,Chronic renal insufficiency,0.96173775
minimal right internal carotid artery disease,True,Left common carotid artery aneurysm,0.97146153
proximal left internal carotid artery stenosis,True,Left carotid artery injury,0.9440327
obtuse marginal stenoses,True,Occlusion of unspecified artery,0.89483196
prolonged ileus,True,Mechanical ileus,0.963337
constipation,True,Constipation,1.0
persistent vomiting,True,Persistent vomiting,0.99999994
progressive preterm labor,True,Preterm labor w preterm delivery,0.9689652
triplet gestation,True,Multiple gestation,0.94561183
gestational diabetes mellitus,True,Neonatal diabetes mellitus,0.94939804
preterm labor,True,Preterm labor w preterm delivery,0.9796594
abdominal discomfort,True,Abdominal pain,0.976205
vaginal pressure,True,Vaginal burning,0.9529087
cervical dilation,True,Cervical shortening in pregnancy,0.945415
mild increased work of breathing,True,Effects of air pressure,0.8964388
Nondysmorphic,True,Pseudo-hurler polydystrophy,0.9001561
Intermittent grunting,True,Persistent vomiting,0.9104788
moderate intercostal retractions,True,Right eardrum retraction pocket,0.90661705
diminished air entry,True,Effects of air pressure,0.92337275
masses,True,Worries,0.92098516
increased respiratory distress,True,Respiratory distress,0.9437145
The last apnea,True,Apnea,0.9267172
bradycardia,True,Bradycardia,1.0
difficulty,True,Confusion,0.9600971
sepsis,True,Septic shock,0.9553455
any issues with sepsis,True,Adjustment to life threatening illness,0.8964039
intraventricular hemorrhage,True,Intraventricular hemorrhage due to birth trauma,0.99999994
a slight increase of echogenicity in the caudothalamic groove,True,"Venous stasis edema w ulcer of left lower leg, unspecified site and depth",0.894455
tiny bilateral germinal matrix hemorrhages,True,"Diffuse follicle center lymphoma, unspecified site",0.891089
periventricular leukomalacia,True,Periventricular leukomalacia,1.0
immaturity of the retinal vessels,True,Changes in retinal vascular appearance,0.92022824
ROP,True,Rales,0.9335352
abnormal results,True,Absent reflex,0.90426433
neuromuscular disease,True,Neuromuscular disease,0.9999997
airway abnormalities,True,Upper airway resistance syndrome,0.9487364
chronic lung disease,True,Restrictive lung disease,0.9499359
Prematurity,True,Hx of prematurity,0.94100124
respiratory distress,True,Respiratory distress,1.0000002
apnea of prematurity,True,"Neonatal apnea, unspecified",0.95214087
indirect hyperbilirubinemia,True,Hyperbilirubinemia of prematurity,0.9857521
"OSTEOCHONDROMATOSIS , RIGHT KNEE",True,Osteochondropathy,0.9552162
"Osteochondromatosis , right knee",True,Osteochondropathy,0.9552162
knee pain,True,Neck pain,0.9505688
uric acid crystals,True,Uric acid renal calculus,0.9211642
intermittent symptoms,True,Rebound headache,0.9186665
some fullness in the suprapatellar pouch,True,Circumoral paresthesia,0.9039621
some soft tissue calcification,True,Calcification of muscle,0.9502269
calcification densities in the suprapatellar bursa region,True,Calcification of muscle,0.94539964
hypertrophia of the synovium,True,Hypertrophy of right infrapatellar fat pad,0.93393743
synovial chondromatosis,True,"Synovial chondromatosis, elbow",0.99999964
any other medical problems,True,Anxiety disorder due to another medical condition,0.90989953
any abnormality,True,Fetal abdominal abnormality,0.88657504
some effusion,True,Effusion of joint,0.93991613
nonspecific T-wave abnormalities,True,Nonspecific paroxysmal spell,0.9151654
NEUROPATHIC PAIN,True,Neuropathic pain,1.0
Post thoracotomy syndrome,True,Acute postthoracotomy pain,0.96474165
post thoracotomy syndrome,True,Acute postthoracotomy pain,0.96474165
her thoracotomy incision,True,Acute postthoracotomy pain,0.9288176
a thoracic aortic aneurysm,True,"Thoracic aortic aneurysm, unspecified part",0.98166186
neuropathic pain,True,Neuropathic pain,1.0
the incision site,True,Puncture wound of lip,0.90603644
stabbing left-sided chest pain,True,Left lower leg pain,0.91571563
Paraplegia,True,Paraplegia,1.0000001
Left hemidiaphragmatic paralysis,True,Left iliohypogastric neuritis,0.91656524
recurrent lung infections,True,Recurrent pneumonia,0.9708221
Sacral decubitus ulcer,True,Sacral dimple,0.91654706
pain,True,Pain,1.0000002
Decreased breath sounds on the left base,True,Stiffness of left hand joint,0.8952382
coarse rales on the left base,True,Gouty tophi of left ear,0.917214
drainage,True,Bleeding,0.95420134
tenderness,True,Tender joint,0.9557431
the sacral decubitus ulcer,True,Acquired left cubitus valgus,0.9113281
Flaccid paralysis of bilateral lower extremities,True,Flaccid hemiplegia,0.9361657
left chest wall pain,True,Chest wall pain,0.96002716
postthoracotomy syndrome,True,Acute postthoracotomy pain,0.9757643
the syndrome,True,POEMS syndrome,0.9268337
her pain pattern,True,Painful scar,0.92115825
musculoskeletal component of her pain,True,Musculoskeletal problem in pregnancy,0.97704214
"The stabbing , sharp pain",True,Primary stabbing headache,0.89010704
that pain,True,Pain crisis,0.930759
her left ischial decubitusin,True,Open left tarsal Fx,0.93466794
her left ischial sacral decubitus,True,Right anterior superior iliac spine avulsion fx,0.9346108
CHRONIC MYELOMONOCYTIC LEUKEMIA,True,Chronic myelomonocytic leukemia,1.0
Chronic myelomonocytic leukemia,True,Chronic myelomonocytic leukemia,1.0
chronic airway obstruction,True,Upper airway obstruction,0.97250444
hypopotassemia,True,Hypoalbuminemia,0.90677047
orbital hemorrhage,True,Left orbital hemorrhage,0.97170746
protein calorie malnutrition,True,"Protein calorie malnutrition, unspecified severity",0.9892089
gastrointestinal hemorrhage,True,Duodenal hemorrhage,0.9480526
pulmonary hemorrhage,True,Pulmonary hemorrhage,0.99999994
pneumonia,True,Pneumonia,1.0
hyperglycemia,True,Hyperglycemia,1.0000001
renal insufficiency,True,Renal insufficiency,0.99999976
hyperuricemia,True,Hyperuricemia,1.0
hypophosphatemia,True,Hypophosphatemia,1.0000002
anemic,True,Anemia,0.9482688
an abnormal white blood count,True,White blood cell disorder,0.89933157
chronic myelomonocytic leukemia,True,Chronic myelomonocytic leukemia,1.0
night sweats,True,Night sweats,1.0000002
increasing fatigue,True,Heat exhaustion,0.91051316
anorexia,True,Severe obesity,0.9229913
dyspnea,True,Dyspnea,0.9999998
profoundly thrombocytopenic,True,"Thrombocytopenia, unspecified",0.942571
weakness,True,Nausea,0.95758325
chronic atrial fibrillation,True,Chronic atrial fibrillation,1.0
chronic obstructive pulmonary disease,True,Chronic obstructive asthma,0.94848776
Other medical problems,True,Psychological factors affecting other medical conditions,0.9290948
chronic liver disease,True,Chronic liver failure,0.98537207
a penetrating injury to the right eye,True,Chemical burn of right eye,0.9367137
blind,True,Corn,0.9624975
irregularly irregular,True,Bilat diffuse lamellar keratitis,0.8574431
some petechiae on his extremities,True,Localized swelling on bilat lower legs,0.92505574
some hemorrhagic bullae,True,Ulcerated internal hemorrhoid,0.9389928
bibasilar rales,True,Bilat labyrinthine hydrops,0.9138595
some wheezing,True,Wheezing,0.96252346
cardiac murmur,True,Heart murmur,0.9782543
distended,True,Bladder distention,0.8897539
massive hepatosplenomegaly,True,Hepatosplenomegaly,0.96253145
somewhat tender,True,Tetany,0.90569586
the blind right eye,True,Left red eye,0.93121886
oval tear drop cells,True,Hx of eyelid basal cell carcinoma,0.91311824
target cells,True,Thymus cancer,0.87889254
a few schistocytes,True,Schistosomiasis due to Schistosoma japonicum,0.9107711
an acute bleed,True,Acute abdomen,0.91272175
new infiltrates,True,Pulmonary infiltrates,0.9511565
cardiomegaly,True,Cardiomegaly,1.0000002
prominent vascularity,True,"Fibroma, mouth",0.8833624
effusions,True,Pleural effusion,0.9188106
a fever,True,Acute MI,0.9210286
His headache,True,Tension headache,0.90889233
profoundly weak,True,Exhibitionistic disorder,0.871732
intermittently febrile,True,Simple febrile seizure,0.9572216
hemoptysis,True,Hemoptysis,0.99999994
intermittent gastrointestinal bleeding,True,Gastrointestinal tract cancer,0.9490062
profoundly thrombocytopenia,True,"Thrombocytopenia, unspecified",0.95925856
sequestration,True,Pulmonary sequestration,0.90547836
a massive spleen,True,Splenic mass,0.9365641
his CMML,True,MSSA carrier,0.91674685
acute myelogenous leukemia,True,Acute myeloid leukemia,0.9896007
his other underlying medical problems,True,Mood disorder due to another medical condition,0.9096934
intermittently congested,True,Hyperventilation,0.8851259
his infection,True,Acute MI,0.9052117
intermittently restless,True,Drug induced fever,0.8632823
somewhat confused,True,Tetany,0.905707
endocarditis,True,Endocarditis,1.0
a left-sided infiltrate,True,Subcutaneous nodule of left lower leg,0.916795
effusion,True,Effusion of joint,0.9021852
cough,True,Pneumonia,0.9596641
intermittently short of breath,True,Lack of adequate sleep,0.876659
Endocarditis,True,Endocarditis,1.0
Rectal cancer,True,Rectal cancer,1.0000001
a large left pleural effusion,True,Loculated pleural effusion,0.95017636
mild respiratory distress,True,Acute respiratory distress,0.95631266
decreased breath sounds,True,Breath holding spell,0.883065
Chest incision,True,Sternum injury,0.91551924
bilateral pedal edema,True,Pedal edema,0.96370137
Right leg wound,True,Right thigh injury,0.95774347
His chest tube drainage,True,Open wound of right chest wall,0.9111634
recurrent pleural effusion,True,Secondary pleural effusion,0.9798706
Incisions,True,Suture removal,0.8935715
Right lower extremity incision,True,Right lower leg laceration,0.932127
METASTATIC CERVICAL CARCINOMA,True,"Cervical adenocarcinoma, unspecified site",0.9556217
PERICARDIAL EFFUSION,True,Pericardial effusion,1.0000001
PULMONARY LYMPHANGITIC SPREAD,True,Acute lymphangitis,0.9598088
LIVER AND SPLEEN METASTASES,True,Cancer metastatic to spleen,0.941225
metastatic cervical cancer,True,Cancer metastatic to cervix,0.9512427
malignant pericardial effusion,True,Malignant pericardial effusion,1.0000002
a 4x3.6x2 cm cervical mass,False,Incomplete C1-C4 quadriplegia,0.79051334
a fibroid,True,"Fibroma, mouth",0.9384514
poorly differentiated squamous cell carcinoma of the cervix,True,"Squamous cell carcinoma in situ, skin",0.9710916
metastatic squamous cell carcinoma in the cardinal ligaments,True,Squamous cell carcinoma metastatic to bilat lung,0.9714163
extensive lymphatic invasion,True,Cervical lymphadenopathy,0.89918166
stage 2B disease,True,"Soft tissue cancer, head",0.8694856
bilateral cystic adnexal masses,True,Right ovarian cyst,0.95104015
tumor,True,Pneumonia,0.93632615
peritubal and periovarian adhesions,True,Peritubal adhesions,0.9254426
a dry non-productive cough,True,Benign exertional headache,0.87848336
wheezing,True,Wheezing,1.0000001
asthma,True,Intermittent asthma,0.9663453
pericardial effusion,True,Pericardial effusion,1.0000001
a 1900-01-10 mm pulsus paradoxus,True,HX of Glenn shunt,0.8827898
tamponade,True,Cardiac tamponade,0.9631369
cervical cancer,True,Endocervical cancer,0.9794186
the pericardial effusion,True,Pericardial effusion,0.9825237
malignant,True,Neoplasm,0.9145616
a hydronephrosis,True,Hydronephrosis,0.9796965
Dry mucous membranes,True,Mucus plugging,0.9245453
myotic pupils,True,Persistent miosis,0.9314524
Few inspiratory wheezes,True,Intermittent asthma w acute exacerbation,0.9006848
rhonchi,True,Macrocheilia,0.9118082
tachycardia,True,Tachycardia,1.0000002
rubs,True,Rales,0.92110646
Well healed Pfannenstiel scars,True,Parastomal hernia w gangrene,0.896664
ectopic P,True,Ectopic kidney,0.98853636
a new pericardial effusion,True,Pericardial effusion,0.91997427
moderate anterior pericardial effusion,True,Pericardial effusion,0.947231
diastolic indications of the right ventricle,True,"Diastolic heart failure, acute on chronic",0.9070328
low velocity paradox,True,Effects of high pressure fluids,0.9047825
pulmonary wheezing,True,Wheezing,0.9634046
a malignant lymphangitic spread,True,"Malignant carcinoid tumor, appendix",0.9301921
pericardial involvement,True,Viral pericarditis,0.94771254
infectious,True,Corn,0.97241056
other cardiovascular causes,True,Hypertensive heart disease,0.9232466
viral bronchiolitis,True,Bronchiolitis,0.977569
fairly significant AA gradient,True,Presence of AICD,0.90958786
a new junctional rhythm,True,AV junctional rhythm,0.9465954
a new rub,True,Black piedra,0.9079331
a rub,True,Q fever,0.90985096
an ectopic low atrial P,True,Atrial ectopic tachycardia,0.9227994
low normal function,True,Normal hearing,0.91311085
moderate to mild effusion,True,Effusion of joint,0.9154921
the effusion,True,Effusion of joint,0.92929083
lymphangitic spread,True,Lymphangitis,0.97569615
cancer in the chest,True,Cancer metastatic to abdominal organ,0.92212665
pulmonary nodules in the chest,True,Multiple pulmonary nodules,0.9573692
multiple liver metastases,True,Cancer metastatic to abdominal organ,0.9236944
decreased function of the left kidney,True,Traumatic left kidney injury,0.89559126
dilated left intrarenal collecting system and proximal ureter,True,Right renal artery injury,0.92836154
periaortic lymphadenopathy,True,Mesenteric lymphadenopathy,0.9519686
numerous erythematous maculopapules on her back,True,Erythema nodosum,0.93302524
steroid acne,True,Cystic acne,0.952065
The patient &apos;s shortness of breath,False,Relational problems w in-laws,0.84595865
some mental status changes,True,Cognitive changes due to medical disorder,0.910311
confusion,True,Confusion,1.0
hallucinations,True,Hallucination,0.967437
decreased pO2,True,Cyanosis,0.89059144
the mental status changes,True,Cognitive changes due to medical disorder,0.9031135
further hallucinations,True,Sleep related hallucinations,0.95047426
symptoms,True,Worries,0.9643021
